Country,Extra Info,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
Norway,nan,63052,62410,60571,62543,62985,62739,63552,64171,63063,63653
Poland,nan,719000,763108,783597,778962,779000,778058,793847,779835,782300,755500
Portugal,nan,212260,205,nan,213,nan,nan,nan,nan,nan,nan
Romania,nan,nan,163426820,207870412534,211413217,202135401717,197536422346,209790442864,202667425704,211494407819,212467390500
San Marino,nan,271,233,233,nan,nan,nan,nan,nan,nan,nan
Spain,nan,598776,562376,564517,590123,586462,574995,595748,605208,643317,646231
Sweden,nan,121272,115414,110168,110192,110144,105096,107305,107960,107168,105567
Switzerland,nan,85308,84776,81903,83549,83029,83741,85331,87912,90823,91421
United Kingdom,nan,855298,818421,796645,792917,804269,794769,789315,825137,851466,870497
United Kingdom,England and Wales,730518,697097,677529,673735,684372,673651,667811,700335,740715
United Kingdom,Northern Ireland,29106,28974,28477,28760,28984,28803,28965,29489,30108,30301
United Kingdom,Scotland,95674,92530,90639,90422,90913,92315,92539,95313,97977,99481
Yugoslavia,nan,483663,494215,447436,499280,484139,493567,471394,460235,426701,432702
American Samoa,nan,795,810,824,810,717,775,787,816,768,822
Australia,nan,181261,190591,193298,201650,202235,202256,207677,212133,220358,222504
Christmas Island [Aust.],nan,nan,63,76,70,117,93,97,114,101,nan
Cocos (Keeling) Islands,nan,nan,nan,nan,nan,nan,nan,nan,1,2,3
Cook Islands,nan,648,621,595,621,645,676,654,747,788,830
Fiji Islands,nan,10853,11517,11441,12512,12936,13204,13067,14076,14845,14810
French Polynesia,nan,nan,nan,nan,nan,nan,3043,3223,nan,nan,nan
Gilbert and Ellice Islands,nan,1351,1309,1163,1214,1301,1482,1612,1437,1362,1474
Guam,nan,1677,1737,1781,1902,1995,2055,2105,2267,2415,2332
Nauru,nan,85,88,90,85,104,123,124,132,123,119
New Caledonia,nan,nan,nan,nan,nan,1691,nan,nan,nan,nan
New Guinea [Aust. Adm.],Non-indigenous population,180,206,239,260,300,346,304,407,420,319
New Zealand,nan,48905,49414,49889,51928,51943,54131,55676,56593,58484,60635
Niue,nan,148,151,197,168,194,196,176,232,240,209
Norfolk Island,nan,17,20,10,19,16,19,16,15,14,18
Pacific Islands,nan,nan,1994,1542,1724,1852,1911,1972,1979,2197,2197
Papua,Non-indigenous population,61,92,88,89,115,138,157,179,140,190
Pitcairn,nan,nan,nan,3,5,5,3,7,nan,nan,nan
Tokelau Islands,nan,nan,1796,1835,nan,nan,nan,80,92,78,nan
Tonga,nan,1821,3293,210,3210,2047,2095,2006,4026,3951,3871
Western Samoa,nan,3293,3496,3350,3210,2963,3484,3508,nan,nan,nan
USSR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Israel,nan,30492,43431,50547,52556,52552,48951,50686,52287,54532,53356
Japan,nan,2696638,2337507,2137689,2005162,1868040,1769580,1730692,1665278,1566713,1649843
Jordan,nan,nan,146,51518,46146,49228,53170,58037,55374,60582,69594
Korea Republic of,nan,nan,19998,700742,940917,709671,817965,787581,nan,nan,nan
Lebanon,nan,22613,28953,30553,31821,34070,nan,nan,nan,nan,nan
Maldive Islands,nan,2688,2781,2694,nan,nan,nan,nan,nan,nan,nan
Mongolian People's Republic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nepal,nan,8026,9241,10453,11457,11155,nan,nan,nan,nan,nan
North Borneo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pakistan,nan,nan,nan,nan,nan,1524980,nan,nan,nan,nan,nan
Palestine,nan,nan,nan,nan,nan,468489,nan,nan,nan,nan,nan
Philippines,nan,1288999,1317938,1483556,1556413,19963,nan,nan,542249,514202,484592
Portuguese India,nan,411,435222,459246,448136,nan,nan,nan,14051,17257,19004
Portuguese Timor,nan,510,19029,19642,18803,nan,17598,15266,10001,11175,11802
Ryukyu Islands,nan,18349,28746,34062,26061,24600,11310,11713,22649,20221,21781
Sarawak,nan,nan,nan,nan,nan,15826,15133,14076,15797,15337,18651
Singapore,nan,9402,12477,14035,15902,15826,24740,22022,22649,20221,21781
Thailand,nan,nan,nan,nan,nan,nan,57029,nan,nan,nan,nan
Viet-Nam Rep. of,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
