Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belize,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,5861.0,6127.0,6393.0,6659.0,6136.0,6727.0,6707.0,6656.333333333333,6605.666666666667,6555.0,7597.0,5112.0,4647.0,5662.5,6678.0,7348.0,5986.0,6395.666666666667,6805.333333333333,7215.0,7553.0,7440.0,8083.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0,8396.0
Benin,4580.0,4580.0,4580.0,4580.0,4580.0,4580.0,4580.0,4580.0,4580.0,4580.0,4580.0,2317.0,2296.0,2381.0,5486.0,5265.0,6185.0,2677.0,6354.0,7782.0,4008.0,4247.23828125,4486.4765625,4725.71484375,4964.953125,5204.19140625,5443.4296875,5682.66796875,5921.90625,6161.14453125,6400.3828125,6639.62109375,6878.859375,7118.09765625,7357.3359375,7596.57421875,7835.8125,8075.05078125,8314.2890625,8553.52734375,8792.765625,9032.00390625,9271.2421875,9510.48046875,9749.71875,9988.95703125,10228.1953125,10467.43359375,10706.671875,10945.91015625,11185.1484375,11424.38671875,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625,11663.625
Bermuda,929.0,1138.0,1046.0,1095.0,1026.0,1102.0,1052.0,1169.0,1087.0,1059.0,1045.9411764705883,1032.8823529411766,1019.8235294117648,1006.7647058823529,993.7058823529412,980.6470588235294,967.5882352941177,954.5294117647059,941.4705882352941,928.4117647058823,915.3529411764706,902.2941176470588,889.2352941176471,876.1764705882352,863.1176470588235,850.0588235294117,837.0,856.0,809.0,801.0,793.0,785.0,777.0,805.0,913.0,840.0,864.5,889.0,899.0,935.0,923.6666666666666,912.3333333333334,901.0,887.4,873.8,860.2,846.6,833.0,849.0,825.0,827.0,829.0,831.0,830.0,834.0,831.0,835.0,798.0,859.0,821.0,819.0,744.5,670.0,648.0,648.0,574.0,583.0,591.0,576.0,530.0,525.0,540.0,494.0,479.0,436.0,436.0
Bhutan,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0,12538.0
Bolivia,119413.0,126497.0,119874.0,125601.0,121051.0,111479.0,95496.0,96430.0,75819.0,77599.0,100454.0,127089.0,126345.0,127706.0,129471.0,131792.0,133342.0,99979.0,82927.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0,94233.0
Bosnia and Herzegovina,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,36241.0,35587.0,35234.0,35151.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0,34627.0
Botswana,58.0,75.0,65.0,78.0,90.0,79.0,81.0,105.0,117.0,127.5,138.0,20627.833333333332,41117.666666666664,61607.5,82097.33333333333,102587.16666666666,123077.0,119386.52380952382,115696.04761904762,112005.57142857143,108315.09523809524,104624.61904761905,100934.14285714286,97243.66666666667,93553.19047619047,89862.71428571429,86172.23809523809,82481.76190476191,78791.28571428571,75100.80952380953,71410.33333333333,67719.85714285714,64029.380952380954,60338.90476190476,56648.42857142857,52957.95238095238,49267.47619047619,45577.0,37989.0,39154.22222222222,40319.444444444445,41484.666666666664,42649.88888888889,43815.11111111111,44980.333333333336,46145.555555555555,47310.77777777778,48476.0,49546.0,50606.0,53407.0,53571.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0,53735.0
Brazil,158225.0,158225.0,166050.0,164315.0,164460.0,179994.0,179003.0,180721.0,288125.72,395530.44,502935.16000000003,610339.88,717744.6,825149.3200000001,932554.04,1039958.76,1147363.48,1254768.2,1362172.92,1469577.6400000001,1576982.36,1684387.08,1791791.8,1899196.52,2006601.24,2114005.96,2221410.68,2328815.4,2436220.12,2543624.84,2651029.56,2758434.2800000003,2865839.0,2788094.5,2710350.0,2559038.0,2669145.5,2779253.0,2660886.0,2578965.0,2497044.0,2415123.0,2333202.0,2417470.0,2418514.0,2472325.0,2442470.0,2412615.0,2431962.8,2451310.6,2470658.4,2490006.2,2509354.0,2581055.0,2822462.0,2813704.0,2874542.0,2587163.2,2299784.4,2012405.6,1725026.8,1437648.0,1150269.2000000002,862890.4000000001,575511.6000000001,288132.8000000001,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0
British Guiana,17137.0,16985.0,18357.0,19555.0,20148.0,20263.0,21073.0,21668.0,22983.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0,23661.0
British Honduras,2548.0,2657.0,2905.0,3028.0,2986.0,3231.0,3463.0,3725.0,3615.0,3988.0,4016.0,2657.0,2905.0,2119.5,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0
