Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1051927.0,1080569.0,1109211.0,1137853.0,1166495.0,1195137.0,1213820.0,1173414.0,1178620.0,1163375.652173913,1148131.3043478262,1132886.956521739,1117642.608695652,1102398.2608695652,1087153.9130434783,1071909.5652173914,1056665.2173913044,1041420.8695652174,1026176.5217391305,1010932.1739130435,995687.8260869565,980443.4782608696,965199.1304347826,949954.7826086957,934710.4347826086,919466.0869565217,904221.7391304348,888977.3913043478,873733.0434782609,858488.695652174,843244.3478260869,828000.0,826000.0,824520.0,823040.0,821560.0,820080.0,829770.0,823000.0,815850.0,852254.0,969385.0,985024.0,1043095.0,1043095.0
Barbados,2410.0,2116.0,2090.0,2127.0,1905.0,2012.0,2021.2,2030.4,2039.6,2048.8,2058.0,2045.0,2287.0,1555.0,2239.0,2923.0,2923.0,2923.0,2467.5,2012.0,1878.0,2003.0,2068.0,2087.6666666666665,2107.3333333333335,2127.0,2195.0,2233.0,2270.0,2276.5,2283.0,2361.0,2391.0,2295.0,2481.0,2352.8333333333335,2224.6666666666665,2096.5,1968.3333333333335,1840.1666666666667,1712.0,2285.0,2293.0,2301.0,2309.0,2317.0,2213.0,2265.0,2317.0,2369.0,2421.0,2403.0,2276.0,2580.0,2623.1428571428573,2666.285714285714,2709.4285714285716,2752.5714285714284,2795.714285714286,2838.8571428571427,2882.0,2923.0,2532.0,2532.0
Belarus,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,81038.75,122919.375,164800.0,169200.0,170984.75,133249.375,95514.0,93136.0,93840.0,97849.0,99949.125,102049.25,104149.375,106249.5,108349.625,110449.75,112549.875,114650.0,116674.0,128544.0,130003.0,105933.0,136653.0,137296.0,141805.0,141303.0,140801.0,140299.0,141749.5,143200.0,140064.0,141857.0,138426.0,132993.0,133879.0,135097.0,137132.0,135090.0,126531.0,125326.0,121542.0,120026.0,119379.0,119311.0,120053.0,120913.0,119755.2,118597.4,117439.6,116281.8,115124.0
Belgium,106985.0,112758.0,116718.0,113094.0,114507.0,115613.0,115212.0,123559.0,119375.0,119114.0,118853.0,117424.0,118786.0,116352.0,95585.0,130214.25,130214.25,130214.25,130214.25,113699.0,112326.0,112506.0,114814.0,112792.0,110770.0,110466.0,105622.0,97517.125,89412.25,97281.125,105150.0,103741.0,106601.0,104894.0,105933.0,104190.0,103802.0,103713.25,103624.5,103535.75,103447.0,105642.0,107628.0,101929.0,102963.0,101587.0,100658.0,104587.0,104509.0,104500.0,104292.0,109076.0,109334.0,104755.0,110541.0,108097.0,109666.0,110693.0,108783.0,126896.0,112331.0,116424.0,111311.0,112098.0
Belize,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,669.0,801.0,349.0,410.3333333333333,471.6666666666667,533.0,594.3333333333334,655.6666666666666,717.0,719.3333333333334,721.6666666666666,724.0,738.75,753.5,768.25,783.0,797.75,812.5,827.25,842.0,846.0,882.0,863.0,1018.0,1173.0,1350.0,1327.75,1305.5,1283.25,1261.0,1284.0,1277.0,1298.0,1369.0,1399.8333333333333,1430.6666666666667,1461.5,1492.3333333333333,1523.1666666666667,1554.0,1535.0,1602.5,1670.0,1737.5,1805.0,1872.0,1886.0,1993.0,2158.0,2504.0,2298.0,2297.0,2297.0
Benin,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,83417.0,82942.3,82467.6,81992.9,81518.2,81043.5,80568.8,80094.1,79619.4,79144.7,78670.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0,79116.0
Bermuda,310.0,334.0,333.0,363.0,358.0,355.0,369.6,384.2,398.8,413.4,428.0,388.0,454.5,521.0,587.5,654.0,654.0,568.3333333333334,482.66666666666663,397.0,457.0,379.0,398.0,526.0,654.0,415.0,654.0,399.0,479.0,465.5,452.0,654.0,500.0,250.0,343.5,437.0,505.0,489.25,473.5,457.75,442.0,404.0,434.0,406.0,437.0,461.0,468.0,443.0,471.0,450.0,429.0,422.0,471.0,480.0,457.0,492.0,481.0,535.0,535.0,566.0,654.0,585.0,622.0,622.0
Bhutan,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,748.0,731.0,4059.0,7387.0,7284.682926829269,7182.365853658536,7080.048780487805,6977.731707317073,6875.414634146341,6773.09756097561,6670.780487804878,6568.463414634147,6466.1463414634145,6363.829268292683,6261.512195121952,6159.195121951219,6056.878048780488,5954.5609756097565,5852.243902439024,5749.926829268293,5647.609756097561,5545.292682926829,5442.975609756098,5340.658536585366,5238.341463414634,5136.024390243902,5033.707317073171,4931.390243902439,4829.073170731707,4726.756097560976,4624.439024390244,4522.121951219512,4419.804878048781,4317.487804878049,4215.170731707317,4112.8536585365855,4010.5365853658536,3908.219512195122,3805.9024390243903,3703.585365853659,3601.268292682927,3498.951219512195,3396.6341463414637,3294.317073170732,3192.0,3187.0,3605.0,3605.0
Bolivia,29700.0,32047.0,21544.0,21422.0,17271.0,91086.0,86840.0,86139.0,85438.0,84737.0,84036.0,83335.0,82634.0,81933.0,81232.0,80531.0,73434.0,72436.0,49636.5,26837.0,29631.125,32425.25,35219.375,38013.5,40807.625,43601.75,46395.875,49190.0,51984.125,54778.25,57572.375,60366.5,63160.625,65954.75,68748.875,71543.0,71618.0,71680.0,65964.25,60248.5,54532.75,48817.0,43101.25,37385.5,31669.75,25954.0,21846.0,42886.8,63927.6,84968.4,106009.2,127050.0,107618.75,88187.5,68756.25,49325.0,48195.0,49546.0,49968.0,49968.0,49968.0,49968.0,49968.0,49968.0
Bosnia and Herzegovina,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,110423.0,107998.0,109540.0,107756.66666666667,105973.33333333333,104190.0,103802.0,95865.92307692308,87929.84615384616,79993.76923076923,72057.69230769231,64121.61538461538,56185.53846153846,48249.46153846154,40313.38461538462,32377.307692307695,24441.230769230773,16505.153846153848,8569.076923076926,633.0,35522.0,35692.0,35837.0,34824.0,35177.0,35530.0,36336.0,37744.0,38829.0,44581.0,50333.0,41296.0,34434.0,35595.0
